name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Пензенский государственный университет архитектуры и строительства;9;75;Пенза;5;1;63.06;61.03;62.06;47.95;0;17;57;8.24;16.97;18.11;10.91;19.6;1.99;99.07;5.07;117.58;186.01;3399.62;5.29;25.33;410.96;22418.9;4.76;86.84;84.76;7;0;13.15;1.04;4;1.51;0.15;5.91;2.35;0.11;2.24;0;0;0;0;0;1.45;0;9279.8;373.07;20.97;192.41;135.65;16.29;0;9.95;0.55;5.79;0.25;51.92;184.56;60;64.74;13.8;78.54;4.42;99.65
Первый Московский государственный медицинский университет имени И.М. Сеченова ;1;1;Москва;9;4;82.98;82.98;71.73;54.18;0;0;577;27.5;1.27;12.73;63.64;52.31;14.49;90.64;19.62;74.5;43.79;892.66;21.99;24.22;222.78;1016904.4;8.28;93.16;158.47;0;0;14.63;2.02;7;1.09;6.94;3.15;11.55;9.08;2.47;0.05;0.06;0.67;17;4.27;2.77;0;0;3290.78;56.54;161.28;808.37;23.01;0;22.78;0.23;0;0.32;59.32;257.06;70;49.41;28.61;78.01;10.69;74.61
Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова ;5;48;Санкт-Петербург;9;4;95.71;93.81;66.52;49.92;0;51;359;31.85;0;16.88;0;49.46;21.07;89.3;20.52;0;348.93;432;12.82;26.34;19.38;236139.1;4.25;100;92.67;0;0;9.6;0.43;4;3.94;6.49;6.86;13.51;8.24;5.28;0;0;0;0;6.96;3.83;0;0;2324.98;41.5;131.53;1017.78;27.61;0;27.61;0;0;0.39;24.69;166.73;0;53.65;25.46;79.18;14.28;73.13
Пермская государственная сельскохозяйственная академия имени академика Д.Н. Прянишникова;9;76;Пермь;6;1;54.84;54.84;48.53;42.85;0;0;29;3.46;8.88;10.56;3.09;86.63;2.4;90.45;1.59;4.97;9.94;461.92;1.17;3.22;212.83;34210;5.64;59.05;97.68;0;0;14.2;2.19;1;0.29;0.1;1.92;0.49;0.12;0.37;0;0;0;0;0;0;0;0;589.11;33.23;150.64;191.3;16.44;0;16.32;0.12;0;0.34;48.49;212.27;75;65.69;10;72.54;3.86;90.86
Петербургский государственный университет путей сообщения Императора Александра I;5;48;Санкт-Петербург;12;1;67.39;67.39;53.71;51.69;0;0;326;19.29;6;9.2;40.18;31.28;4.2;95.25;28.24;13.1;22.86;717.86;4.49;7.71;178.25;553762.6;22.11;75.27;711.14;2;2.95;10.79;0.37;7;0.39;2.56;6.83;10.93;4.91;6.01;0.34;0.7;0.34;2;0.66;6.6;7998.8;118344.4;2303.89;71.53;164.84;347.6;17.79;0;17.79;0;0;0.48;43.39;210.53;85;51.63;15.42;67.49;4.84;90.09
Петрозаводский государственный университет;5;55;Петрозаводск;5;1;67.45;67.45;60.62;46.51;0;0;86;6.04;5.96;10.04;6.67;82.58;4.71;85.95;7.13;57.73;95.19;766.11;12.63;16.37;103.1;195951.9;10.53;100;121.38;8;0;15.13;2.19;13;13.6;1.96;0.79;0.7;0.15;0.54;0.19;0.64;0.67;6;0.61;0.31;50531.8;23750.8;699.61;27.09;150.92;268.35;14.86;0.04;13.74;0;1.08;0.57;17.79;209;80;59.53;15.34;72.83;5.87;91.46
Поволжский государственный технологический университет;9;78;Йошкар-Ола;5;1;60.97;60.97;58.99;45.91;0;0;83;7.74;21.54;22.75;18.86;29.59;3.28;87.66;10.6;7.3;36.32;1091.99;15.11;12.05;317.72;63519.3;6.04;99.01;67.41;1;0.02;32.24;2.39;7;3.73;0.22;10.92;5.26;0;5.26;0.04;0.02;0.16;1;0.52;1.55;5268.2;14259.9;483.37;27.07;163.08;178.89;13.57;0;13.57;0;0;0.41;50.62;153.2;70;63.3;12.14;72.56;4.75;85.88
Поволжский государственный университет телекоммуникаций и информатики;9;81;Самара;13;1;63.48;63.48;53.62;42.66;0;0;20;3.14;11.52;13.39;23.08;89.14;2.43;89.28;2.46;3.88;12.12;356.45;12.12;19.4;244.42;17407.7;3.87;69.67;75.96;2;0;29.24;2.04;2;5.82;0.04;7.92;5.03;0;5.03;0;0;0;0;0;3.08;0;0;847.49;38.8;168.45;168.64;15.23;0;15.23;0;0;0.51;0.47;114.3;80;54.1;16.83;72.21;3.52;83.41
Приморская государственная сельскохозяйственная академия;4;25;Уссурийск;6;3;50.51;50.51;63;42.67;0;0;2;0.6;1.08;2.85;0;60.66;1.94;87.36;1.49;111.71;223.41;819.48;4.47;11.62;247.54;14406.7;3.94;100;104.8;0;0;13.64;2.46;1;0.89;0;6.54;1.1;0;1.1;0.28;0.14;0;0;0;0;574;450.8;569.66;17.44;158.6;236.92;25.9;0;25.9;0;0;0.37;22.75;167.37;60;65.77;4.42;69.11;3.05;79.22
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации;1;1;Москва;11;1;89.43;86.42;65.14;41.62;5;96;70;2.33;19.78;21.96;58.16;100;4.12;98.5;1.12;7.09;20.49;753.61;4.35;11.65;519.65;1436388.5;14.26;98.42;144.74;0;0;17.95;0.33;32;2.81;1.45;2.63;4.21;1.66;2.55;0;0;1.69;21;5.67;0;0;29755.6;3227.98;45.68;213.3;691.11;12.82;0;12.82;0;0;0.21;7.54;74.18;75;42.82;18.62;60.06;4.81;70.83
Российский государственный аграрный заочный университет;1;2;Балашиха;6;1;0;0;50.7;42.3;0;0;0;0;3.07;5.85;0;78.42;6.82;92.95;0.65;2.18;2.18;126.36;1.45;2.18;147.42;9059.5;2.68;100;47.64;76;0;11.8;1.25;3;0;0.02;6.71;3.16;0;3.16;0;0;0.56;0;0;0;0;9533.9;1158.63;47.27;160.87;354.25;49.28;0;49.21;0;0;0.55;20.41;777.4;75;62.13;19.35;82.89;1.33;92.35
Российский государственный аграрный университет - МСХА имени К.А.Тимирязева;1;1;Москва;6;1;61.34;61.28;55.01;40.46;0;2;69;2.79;14.73;16.8;13.55;16.93;2.78;74.46;3.22;14.53;30.24;888.52;2.82;5;138.69;330942.4;10.14;100;131.48;13;0.06;16.58;0.68;3;1.18;1.66;3.62;4.74;2.21;2.52;0.09;0.05;0.24;3;5.3;1.56;6308.7;0;975.49;32.89;123.96;283.01;22.4;0;22.4;0;0;0.33;26.82;359.89;75;54.53;18.96;75.02;5.67;93.06
Российский государственный геологоразведочный университет имени Серго Орджоникидзе;1;1;Москва;5;1;66;65.86;54.71;50.32;0;1;16;3.1;8.19;10.25;55.88;62.58;3.51;13.24;3.36;5.97;12.37;281.88;2.56;4.26;107.89;47053;7.04;100;134.36;0;0.59;14.29;1.33;2;6.4;5.96;11.38;14.19;6.22;7.97;0;0;0;0;17.65;8.82;0;32905.4;893.22;31.33;88.35;229.79;19.49;0;19.49;0;0;0.22;18.91;155.9;60;47.97;27.93;74.44;4.34;79.04
